省份,新增确诊,累计确诊,死亡,治愈,更新日期
湖北,0,68159,4512,63644,2021-05-21
香港,1,11828,210,11542,2021-05-21
台湾,292,2825,15,1133,2021-05-21
广东,1,2400,8,2354,2021-05-21
上海,9,2061,7,1991,2021-05-21
黑龙江,0,1611,13,1597,2021-05-21
浙江,0,1361,1,1323,2021-05-21
河北,0,1317,7,1310,2021-05-21
河南,1,1314,22,1289,2021-05-21
北京,0,1057,9,1046,2021-05-21
湖南,1,1049,4,1038,2021-05-21
四川,1,1006,3,978,2021-05-21
安徽,0,1001,6,989,2021-05-21
新疆,0,980,3,977,2021-05-21
江西,0,937,1,936,2021-05-21
山东,0,883,7,872,2021-05-21
江苏,0,722,0,713,2021-05-21
福建,11,610,1,583,2021-05-21
陕西,0,609,3,591,2021-05-21
重庆,0,598,6,586,2021-05-21
吉林,0,573,3,570,2021-05-21
辽宁,0,423,2,406,2021-05-21
天津,0,389,3,379,2021-05-21
内蒙古,0,384,1,380,2021-05-21
云南,0,351,2,321,2021-05-21
广西,0,275,2,267,2021-05-21
山西,0,251,0,246,2021-05-21
甘肃,0,193,2,191,2021-05-21
海南,0,188,6,176,2021-05-21
贵州,0,147,2,145,2021-05-21
宁夏,0,76,0,75,2021-05-21
澳门,0,50,0,49,2021-05-21
青海,0,18,0,18,2021-05-21
西藏,0,1,0,1,2021-05-21
